title,release_date,developer,publisher,tags,bundle,music
Car Detailing Simulator,"13 Apr, 2022",Games Incubator,Games Incubator,"Simulation,Automobile Sim,Singleplayer,Realistic,Design & Illustration,Racing,Casual,Indie,3D,Driving,Experimental,Building,Management,Immersive Sim,Education,Colorful,First-Person,Family Friendly,Retro,Stylized",,
Lesson Learned,"29 May, 2024",MadGamesmith,Gaming Factory,"Historical,Tower Defense,Action-Adventure,Strategy,2D,Relaxing,Funny,Controller,Adventure,Time Management,Indie,Split Screen,Cartoony,Casual,Stylized,Tactical,Hand-drawn,Co-op,Local Co-Op,Hack and Slash",,Buy Lesson Learned
Darkness Under My Bed,"19 Feb, 2021",Desert Fox,Desert Fox,"Horror,Psychological Horror,Supernatural,First-Person,Exploration,Robots,Surreal,Adventure,Mystery,Dark,Psychological,Atmospheric,Story Rich,Underground,Point & Click,Minimalist,2D,Singleplayer,Indie,Gore",,Buy Darkness Under My Bed
DESTRUCTURE: Among Debris,"27 Feb, 2023",Team Instant Defeat,RockGame S.A.,"Post-apocalyptic,Military,Shooter,Arcade,Steampunk,Bullet Hell,2D,Combat,Rhythm,Top-Down Shooter,Twin Stick Shooter,Bullet Time,Top-Down,Destruction,Singleplayer,Action,Stylized,Casual,Physics,Realistic",,Buy DESTRUCTURE: Among Debris
Ship Graveyard Simulator 2,,Games Incubator,,"Simulation,Destruction,Multiplayer,Online Co-Op,Exploration,Management,Building,Realistic,First-Person,Indie,Action,Relaxing,Casual,Sandbox,Inventory Management,Atmospheric,Family Friendly,Adventure,Crafting,Education",,
Fishing Adventure,"1 Nov, 2019",MasterCode,Ultimate Games S.A.,"Fishing,Simulation,Multiplayer,Singleplayer,Sports,First-Person,Realistic,Casual,Atmospheric,Adventure,Family Friendly,Life Sim,Walking Simulator,2D Platformer,Trading Card Game,Third Person,VR,Nature,Funny,Linear",,Buy Fishing Adventure
Anonymous Hacker Simulator,"3 Apr, 2024",Sicarius,G-DEVS.com,"Simulation,Hacking,Typing,Immersive Sim,Sandbox,Crime,Detective,Stealth,3D,Life Sim,First-Person,Indie,Cyberpunk,Singleplayer,Realistic,Job Simulator,Programming",,Buy Anonymous Hacker Simulator
Ultimate Fishing Simulator 2,"22 Aug, 2022",Silent Bear Studio,Ultimate Games S.A.,"Early Access,Fishing,Simulation,Sports,Realistic,Singleplayer,First-Person,Multiplayer,Relaxing,Casual,Adventure,Family Friendly,Atmospheric,Indie,Immersive Sim,Walking Simulator,Inventory Management,Underwater,Nature,Action",,Buy Ultimate Fishing Simulator 2
Cafe Owner Simulator,"5 Dec, 2022",Second Reality,RockGame S.A.,"Design & Illustration,Economy,Simulation,Resource Management,Building,Singleplayer,Life Sim,Management,Base Building,Cooking,Sandbox,First-Person,Family Friendly,Casual,Funny,Immersive Sim,Realistic,Relaxing,Logic,3D",,Buy Cafe Owner Simulator
Uplink,"23 Aug, 2006",Introversion Software,Introversion Software,"Hacking,Indie,Strategy,Singleplayer,Cyberpunk,Simulation,Sci-fi,Real-Time with Pause,2D,Experimental,Atmospheric,Puzzle,Story Rich,Programming,Perma Death,Roguelike,Text-Based,Immersive Sim,Time Management,Typing",,Buy Uplink
Crypto Miner Tycoon Simulator,"21 Apr, 2022",Bigosaur,CreativeForge Games,"Simulation,Management,Economy,Realistic,Mining,Hardware,Building,Sandbox,Automation,Trading,Isometric,Indie,Inventory Management,Singleplayer,Software,Villain Protagonist",,Buy Crypto Miner Tycoon
Scanner Sombre,"26 Apr, 2017",Introversion Software,Introversion Software,"Exploration,Walking Simulator,Horror,Atmospheric,Indie,Adventure,First-Person,VR,Singleplayer,Short,Psychological Horror,Colorful,Action,Casual,Lovecraftian,Sci-fi,Jump Scare,Underground,Linear,Mystery Dungeon",,Buy Scanner Sombre
Beer Factory,"10 Jan, 2024",AKEL,CreativeForge Games,"Simulation,Automation,First-Person,Resource Management,Management,Singleplayer,Artificial Intelligence,Economy,Crafting,Physics,Realistic,Sandbox,Inventory Management,3D,Indie,Idler,Multiplayer",,Buy Beer Factory
Builders of Greece,"27 Feb, 2024",BLUM Entertainment,CreativeForge Games,"Early Access,City Builder,Strategy,Simulation,Indie,Building,Mythology,Sandbox,Historical,Economy,Immersive Sim,Singleplayer,RTS,Realistic,Base Building,War,Tactical,Management,Real-Time,Violent",,Buy Builders of Greece
Ultimate Fishing® Simulator,"30 Aug, 2018",Pancake Games,Ultimate Games S.A.,"3D,America,Fishing,Sports,Simulation,Nature,Immersive Sim,Atmospheric,Exploration,Casual,Multiplayer,Singleplayer,Realistic,Open World,Online Co-Op,First-Person,Relaxing,Sandbox,FPS,Family Friendly",,Buy Ultimate Fishing Simulator
Rover Mechanic Simulator,"12 Nov, 2020",▲ Pyramid Games,Pyramid Games S.A.,"Simulation,Indie,Building,Sandbox,Singleplayer,Education,Space,Realistic,Science,Mars,Exploration,Sci-fi,Replay Value,Space Sim,Family Friendly,Difficult,Automation,Physics,Crafting,Management",,Buy Rover Mechanic Simulator
Robin Hood - Sherwood Builders,"29 Feb, 2024",MeanAstronauts,PlayWay S.A.,"Exploration,Medieval,Open World,RPG,Base Building,Adventure,3D,Singleplayer,Building,Management,Crafting,Atmospheric,Action RPG,Action-Adventure,Realistic,Archery,Nonlinear,Third Person,Survival,Nature",,Buy Robin Hood: Sherwood Builders
Frozenheim,"16 Jun, 2022",Paranoid Interactive,Untold Tales,"Strategy,Base Building,RTS,War,Medieval,Multiplayer,Grand Strategy,Real Time Tactics,Naval Combat,Management,3D,Vikings,Singleplayer,Stylized,Fantasy,Combat,Violent,Gore,Exploration,Colony Sim",,Buy Frozenheim
Mutant Year Zero: Road to Eden,"4 Dec, 2018",The Bearded Ladies,Funcom,"Strategy,RPG,Turn-Based Combat,Post-apocalyptic,Turn-Based Tactics,Tactical,Turn-Based,Adventure,Stealth,Singleplayer,Turn-Based Strategy,Atmospheric,Action,Survival,Dark Fantasy,Difficult,Funny,Horror,Exploration,Fantasy",,
W.A.N.D. Project,"29 Nov, 2024",The Knights of Unity,Untold Tales,"Action RPG,Action Roguelike,Bullet Hell,Anime,Female Protagonist,Action,Indie,Roguelike,Pixel Graphics,Roguelite,Sci-fi,Fantasy,Cute,Futuristic,Singleplayer,Crafting,3D,Arena Shooter,Shoot 'Em Up,Magic",,Buy W.A.N.D. Project
Greedland,,VaMP He,,"Roguelite,Bullet Hell,Early Access,Action Roguelike,Roguelike,Score Attack,Adventure,Action,Top-Down,Singleplayer,Top-Down Shooter,Twin Stick Shooter,Indie,Local Co-Op,Sci-fi,Casual,Mechs,Arcade,Co-op,Futuristic",,
Rogue: Genesia,"19 Sep, 2022",Ouadi Huard,,"Early Access,Action Roguelike,Bullet Hell,Roguelite,Arcade,Twin Stick Shooter,Choices Matter,PvE,Action,2.5D,Roguelike,2D,Strategy,Top-Down,3D,Procedural Generation,Controller,RPG,Casual,Pixel Graphics",,
The Hong Kong Massacre,"21 Jan, 2019",VRESKI,Untold Tales,"Action,Bullet Time,Violent,Top-Down Shooter,Indie,Gore,Twin Stick Shooter,Top-Down,Shooter,Blood,Difficult,Arcade,Shoot 'Em Up,Singleplayer,Story Rich,2.5D,Realistic,Stylized,1990's,Atmospheric",,Buy The Hong Kong Massacre
Dinosaur Fossil Hunter,"4 May, 2022",▲ Pyramid Games,▲ Pyramid Games,"Mining,Simulation,Dinosaurs,Building,Sandbox,Open World,First-Person,Management,Exploration,Realistic,Relaxing,Walking Simulator,Singleplayer,Nature,Resource Management,Family Friendly,Immersive Sim,Adventure,Replay Value,Atmospheric",,Buy Dinosaur Fossil Hunter
Magicraft,"1 Nov, 2024",Wave Game,bilibili,"Action Roguelike,Roguelite,Looter Shooter,Bullet Hell,Strategy RPG,Roguelike,Traditional Roguelike,RPG,Top-Down,Deckbuilding,Procedural Generation,Action,Lovecraftian,Magic,Crafting,Adventure,Singleplayer,Indie,Addictive,Early Access",,
Hotline Miami,"23 Oct, 2012",Dennaton Games,Devolver Digital,"Great Soundtrack,Violent,Action,Indie,Pixel Graphics,Top-Down,Gore,1980s,Fast-Paced,Retro,Psychedelic,Difficult,Singleplayer,Surreal,2D,Shooter,Top-Down Shooter,Atmospheric,Addictive,Music",,Buy Hotline Miami
RUINER,"26 Sep, 2017",Reikon Games,Devolver Digital,"Cyberpunk,Action,Top-Down Shooter,Great Soundtrack,Indie,Violent,Twin Stick Shooter,Gore,Isometric,Atmospheric,Difficult,Singleplayer,Sci-fi,Shooter,Top-Down,Dystopian,Hack and Slash,Third Person,Fast-Paced,Open World",,Buy RUINER
Car Trader Simulator,"4 Nov, 2020",Live Motion Games,Live Motion Games,"Early Access,Simulation,Trading,2D,Singleplayer,Management,Indie,Casual,Economy,Strategy,Funny,Relaxing,Family Friendly,Resource Management,Adventure,Capitalism,Realistic,Choices Matter,Inventory Management,Open World",,
Backpack Battles,,PlayWithFurcifer,,"Early Access,Auto Battler,Inventory Management,Strategy,PvP,Roguelike Deckbuilder,Asynchronous Multiplayer,Multiplayer,Indie,Tactical,Card Battler,Turn-Based,Loot,Combat,Roguelike,Replay Value,2D,Cute,Hand-drawn,Female Protagonist",,
Underground Garage,,BeardedBrothers.games,,"Early Access,Simulation,Automobile Sim,Driving,Sandbox,Immersive Sim,Life Sim,Singleplayer,Management,Open World,3D,Realistic,Crafting,Inventory Management,Building,First-Person,Physics,Moddable,Capitalism,Time Management",,
Prison Simulator,"4 Nov, 2021",Baked Games,Baked Games,"RPG,Casual,Simulation,Crime,Action,Singleplayer,FPS,First-Person,Realistic,Sandbox,Atmospheric,Funny,Dark Comedy,Stealth,Open World,Story Rich,Inventory Management,Trading,Conversation,Combat",,
Wildfrost,"12 Apr, 2023",Deadpan Games,Chucklefish,"Card Battler,Difficult,Roguelike Deckbuilder,Card Game,Turn-Based Tactics,Roguelite,Deckbuilding,Roguelike,Singleplayer,Turn-Based,Unforgiving,Perma Death,Turn-Based Strategy,Replay Value,Procedural Generation,Strategy,Colorful,Controller,Fantasy,Base Building",,Buy Wildfrost
Dungeon Clawler,"21 Nov, 2024",Stray Fawn Studio,Stray Fawn Publishing,"Early Access,Arcade,Replay Value,Roguelike Deckbuilder,Gambling,Turn-Based Combat,Roguelike,Procedural Generation,Turn-Based Strategy,Deckbuilding,Physics,Cute,Roguelite,Soundtrack,Retro,Dungeon Crawler,Strategy,Difficult,2D,Stylized",,Buy Dungeon Clawler
Storage Hunter Simulator,,Raccoons Studio,,"Early Access,Simulation,Management,Economy,Immersive Sim,Singleplayer,Trading,Loot,First-Person,Relaxing,Resource Management,Driving,Capitalism,3D,Sandbox,Realistic,America,Casual,Survival,Inventory Management",,
Hammer of Pain,"18 Oct, 2024",SleepingFrog,Baked Games S.A.,"2D,Action,Action-Adventure,Precision Platformer,Platformer,Retro,Fantasy,Linear,Singleplayer,Story Rich,Souls-like,Puzzle,Pixel Graphics,2D Platformer,Action RPG,Dark Fantasy,Adventure,Spectacle fighter,2D Fighter,RPG",,Buy Hammer of Pain
Ballionaire,,newobject,,"Casual,Singleplayer,Roguelike,Turn-Based,Deckbuilding,Strategy,Roguelite,Pinball,Roguelike Deckbuilder,Physics,Cute,2D,Replay Value,Pixel Graphics,Card Game,Card Battler,Choices Matter,Turn-Based Strategy,Relaxing,Simulation",,Buy Ballionaire
Wargroove 2,"5 Oct, 2023",Chucklefish,Chucklefish,"Singleplayer,PvP,Asynchronous Multiplayer,Turn-Based Strategy,Pixel Graphics,Local Co-Op,Multiplayer,Strategy,Fantasy,Strategy RPG,Turn-Based Tactics,Roguelike,Family Friendly,Co-op,Tactical RPG,Puzzle,Wargame,Local Multiplayer,2D,Colorful",,Buy Wargroove 2
INMOST,"21 Aug, 2020",Hidden Layer Games,Chucklefish,"Indie,Pixel Graphics,Adventure,Story Rich,Exploration,Atmospheric,Psychological,Thriller,Puzzle Platformer,Dark,Psychological Horror,Singleplayer,Platformer,Emotional,Mystery,Horror,Puzzle,2D Platformer,Action,Cinematic",,Buy Inmost
Barn Finders,,Duality Games,,"Simulation,Casual,Indie,Trading,Economy,Singleplayer,Exploration,Management,First-Person,Sandbox,Realistic,Funny,Atmospheric,Physics,Inventory Management,Relaxing,Adventure,Education,Family Friendly,Classic",,
Great Houses of Calderia,"2 May, 2024",Resistance Games,Firesquid,"Grand Strategy,RPG,Strategy,Fantasy,Indie,Simulation,Political,Management,Resource Management,Economy,Military,Medieval,War,Diplomacy,4X,RTS,Singleplayer,Choices Matter,Real-Time with Pause,Replay Value",,
Dungeons & Degenerate Gamblers,"8 Aug, 2024",Purple Moss Collectors,Yogscast Games,"Roguelike Deckbuilder,Strategy,Roguelike,Deckbuilding,Card Game,Card Battler,Roguelite,Singleplayer,RPG,Replay Value,2D,Casual,Procedural Generation,Fantasy,Pixel Graphics,Gambling,Turn-Based,Capitalism,Mouse only,Difficult",,
Luck be a Landlord,"6 Jan, 2023",TrampolineTales,TrampolineTales,"Roguelike Deckbuilder,Deckbuilding,Roguelite,Strategy,Procedural Generation,Simulation,Gambling,Pixel Graphics,Capitalism,Roguelike,Resource Management,Auto Battler,Casual,Management,Singleplayer,Indie,2D,Retro,Villain Protagonist,Early Access",,
USC: Counterforce,"18 Jul, 2024",Angry Cat Studios,Firesquid,"Military,Local Co-Op,Multiplayer,Singleplayer,Local Multiplayer,Turn-Based,Turn-Based Tactics,Difficult,Strategy RPG,Turn-Based Strategy,Procedural Generation,Character Customization,RPG,Strategy,Top-Down,Turn-Based Combat,Sci-fi,Tactical,Space,Crafting",,Buy Ultimate Space Commando: Counterforce
Rack and Slay,"27 May, 2024",Ludokultur,2 Left Thumbs,"Roguelike,Pool,Dungeon Crawler,Roguelite,Strategy,2D,Replay Value,Tactical,Turn-Based Strategy,Turn-Based Tactics,Procedural Generation,Top-Down,Perma Death,Loot,Action Roguelike,Roguelike Deckbuilder,Indie,Deckbuilding,RPG,Singleplayer",,Buy Rack and Slay
Bingle Bingle,"18 Mar, 2024",Knitting Games,Knitting Games,"Roguelike Deckbuilder,Card Game,Roguelike,Turn-Based Tactics,Deckbuilding,Replay Value,Pixel Graphics,Strategy,Roguelite,2D,Singleplayer,Score Attack,Gambling,Procedural Generation,Tabletop,Card Battler,Turn-Based,Early Access,Indie",,Buy Bingle Bingle
Lucky Tower Ultimate,,Studio Seufz,,"Early Access,Action Roguelike,Dungeon Crawler,Procedural Generation,Adventure,Dark Humor,Difficult,2D,Cartoon,Hand-drawn,Comedy,Choose Your Own Adventure,Funny,Parody,Fantasy,Medieval,Dark Fantasy,Loot,Roguelite,Emotional",,Buy Lucky Tower Ultimate
Rogue Voltage,,Horizont Computergrafik,,"Early Access,Deckbuilding,Automation,Card Battler,Roguelike,Strategy,Programming,Replay Value,Roguelike Deckbuilder,Roguelite,Turn-Based,Singleplayer,JRPG,Turn-Based Tactics,Pixel Graphics,Simulation,Auto Battler,Strategy RPG,Management,Turn-Based Combat",,
Gunbrella,"13 Sep, 2023",doinksoft,Devolver Digital,"Side Scroller,Exploration,Platformer,Difficult,Action Roguelike,2D,Noir,Funny,Pixel Graphics,Action,Controller,Adventure,Singleplayer,Combat,Mature,Story Rich,Indie,Metroidvania,Anime",,Buy Gunbrella
LONESTAR,"18 Jan, 2024",Math Tide,Thermite Games,"Early Access,Roguelike,Strategy,Turn-Based Tactics,Card Battler,Roguelike Deckbuilder,Turn-Based Strategy,Turn-Based Combat,Replay Value,Perma Death,Roguelite,Difficult,Deckbuilding,Procedural Generation,Turn-Based,Card Game,Tactical,2D,Dungeon Crawler,Singleplayer",,Buy LONESTAR
Ultimate Space Commando,"12 May, 2015",Creatio 49,Angry Cat Studios,"Indie,Strategy,RPG,Turn-Based Tactics,Turn-Based",,Buy Ultimate Space Commando
Sunshine Shuffle,"24 May, 2023",Strange Scaffold,Strange Scaffold,"Gambling,Card Game,Visual Novel,Collectathon,Conversation,Story Rich,Tabletop,Cartoony,Relaxing,Cute,Resource Management,Narrative,Mystery,Heist,Detective,Casual,Interactive Fiction,Funny,Noir,Colorful",,Buy Sunshine Shuffle
Blackthorn Arena: Reforged,"2 Nov, 2024",PersonaeGame Studio,Light Up Games,"Simulation,Strategy,Fantasy,Management,Medieval,Dungeon Crawler,Crafting,Immersive Sim,City Builder,CRPG,Base Building,Real Time Tactics,Dark Fantasy,Strategy RPG,Choices Matter,Turn-Based Strategy,Rome,3D,Isometric,Top-Down",,
CLICKOLDING,"16 Jul, 2024",Strange Scaffold,Strange Scaffold,"Psychological Horror,First-Person,Sexual Content,Sci-fi,Story Rich,Clicker,Exploration,Crime,Anime,Cute,Noir,Surreal,Dark Humor,Atmospheric,Singleplayer,Indie,Psychological,Point & Click,Conversation,Hentai",,Buy CLICKOLDING
Life Eater,"16 Apr, 2024",Strange Scaffold,Strange Scaffold,"Horror,Interactive Fiction,Simulation,1990's,Point & Click,FMV,Text-Based,Atmospheric,Time Management,Alternate History,Lovecraftian,Dark Comedy,Psychological Horror,Mythology,Lore-Rich,Mystery,Supernatural,Thriller,Procedural Generation,Multiple Endings",,Buy Life Eater
Gladiator Guild Manager,"22 Jun, 2024",Entertainment Forge,GrabTheGames,"Strategy,Auto Battler,Management,RPG,Strategy RPG,Tactical,Building,Medieval,Roguelite,Tactical RPG,Turn-Based Tactics,Base Building,RTS,Pixel Graphics,Turn-Based,City Builder,Singleplayer,Indie,Turn-Based Strategy,Resource Management",,Buy Gladiator Guild Manager
Witch Strandings,"7 Jul, 2022",Strange Scaffold,Modern Wolf,"Multiple Endings,Atmospheric,Pixel Graphics,Choices Matter,Adventure,Surreal,Nonlinear,Walking Simulator,Singleplayer,Simulation,Exploration,Casual,Psychological Horror,Abstract,Minimalist,Mystery Dungeon,Top-Down,Dark,Open World,Dark Fantasy",,Buy Witch Strandings
Despot's Game: Dystopian Battle Simulator,"29 Sep, 2022",Konfa Games,tinyBuild,"Auto Battler,Pixel Graphics,Roguelike,Tactical,Indie,RPG,Turn-Based Tactics,2D,Dark Humor,Roguelite,Singleplayer,Strategy,Adventure,Survival,Asynchronous Multiplayer,Atmospheric,Dungeon Crawler,Procedural Generation,Replay Value,Turn-Based",,Buy Despot's Game: Dystopian Battle Simulator
Ale & Tale Tavern,,Scienart Games,,"Adventure,Online Co-Op,Simulation,Cooking,Fantasy,Management,First-Person,Action,Co-op,Sandbox,3D,Economy,Building,Casual,Indie,Exploration,Family Friendly,Action-Adventure,Party Game,Singleplayer",,Buy Ale & Tale Tavern
Tobacco Shop Simulator,,Business Tycoon,,"Simulation,Life Sim,Online Co-Op,Design & Illustration,Co-op,Multiplayer,Singleplayer,Economy,Sandbox,Immersive Sim,Casual,Management,Realistic,First-Person,Capitalism,Family Friendly,Inventory Management,Resource Management,Trading,Early Access",,Buy Tobacco Shop Simulator
Space Warlord Organ Trading Simulator,"7 Dec, 2021",Strange Scaffold,Strange Scaffold,"Singleplayer,Clicker,2D,Casual,Simulation,Funny,Fantasy,Colorful,Pixel Graphics,Mystery,Trading,Dating Sim,Space,Economy,Moddable,Capitalism,Aliens,Anime,Crafting,First-Person",,Buy Space Warlord Organ Trading Simulator
United Penguin Kingdom,,Turquoise Revival Games,,"Strategy,City Builder,Survival,Management,Resource Management,Economy,Relaxing,Colorful,Cute,Funny,Simulation,Building,Colony Sim,Fantasy,Nature,Family Friendly,Base Building,Singleplayer,Indie",,Buy United Penguin Kingdom
Oxygen,"7 Apr, 2023",Turquoise Revival Games,GrabTheGames,"Strategy,City Builder,Base Building,Simulation,Survival,Resource Management,Colony Sim,Sandbox,3D,Realistic,Building,Crafting,Economy,Management,Post-apocalyptic,Indie,Open World,Singleplayer,Real Time Tactics,Atmospheric",,Buy Oxygen
Retail Company Simulator,"6 Aug, 2024",Business Tycoon,Business Tycoon,"Casual,Simulation,Life Sim,Sandbox,Design & Illustration,Immersive Sim,Economy,3D,Realistic,Capitalism,Management,Family Friendly,Resource Management,Inventory Management,Trading,Singleplayer,Shop Keeper,Strategy,Indie,Multiplayer",,Buy Retail Company Simulator
Wrought Flesh,"10 Dec, 2021",Deep Root Interactive,Deep Root Interactive,"FPS,Action,RPG,Retro,3D,Exploration,Gore,Pixel Graphics,Horror,Futuristic,Violent,Cyberpunk,Combat,Inventory Management,Female Protagonist,Singleplayer,Open World,Shooter,Multiple Endings,First-Person",,Buy Wrought Flesh
Cruelty Squad,"15 Jun, 2021",Consumer Softproducts,Consumer Softproducts,"Capitalism,Surreal,Immersive Sim,FPS,Psychological Horror,Psychedelic,Shooter,Cyberpunk,First-Person,Dark Humor,Lore-Rich,Stealth,Dystopian,Stylized,Action,Assassin,Retro,Tactical,Post-apocalyptic,Simulation",,Buy Cruelty Squad
Animal Rescuer,"22 Dec, 2020",Turquoise Revival Games,Turquoise Revival Games,"Survival,Open World Survival Craft,Crafting,Action,Adventure,RPG,Indie,Exploration,Hack and Slash,Open World,Action RPG,Third Person,Medieval,Swordplay,Souls-like,Singleplayer,Nature,Cats,Dog,Action-Adventure",,Buy Animal Rescuer
Toy Tinker Simulator,"20 Nov, 2021",Turquoise Revival Games,GrabTheGames,"Simulation,Building,Realistic,First-Person,Trading,Sandbox,Family Friendly,Relaxing,Singleplayer,Inventory Management,Indie,3D,Cute,Funny,Design & Illustration,FPS,Resource Management,Immersive Sim,Anime,Historical",,Buy Toy Tinker Simulator
Smart Factory Tycoon,"26 Mar, 2022",Turquoise Revival Games,GrabTheGames,"Simulation,Strategy,Resource Management,Management,Base Building,Sandbox,Singleplayer,City Builder,Building,Design & Illustration,Casual,Replay Value,Immersive Sim,Time Management,Robots,Isometric,Economy,Automation,Indie,Stylized",,Buy Smart Factory Tycoon
